name,description,createdDate,marketType,price,rating,rater,topics
Storytelling dan Creative Writing untuk Menulis Cerita Menarik,"<div>Kelas ini membahas tentang teknik menulis dengan gaya <em>storytelling </em>yang tepat dalam pembuatan karya nonfiksi. Kamu akan mempelajari mulai dari dasar, seperti pengenalan terhadap penulisan kreatif dan gaya <em>storytelling</em>, jenis-jenis tulisan yang disukai pembaca untuk menjadi sumber idemu, dan rumus untuk mengembangkan teknik <em>storytelling </em>sehingga ceritamu bisa menarik pembaca. Kamu juga akan mendapatkan tips untuk mengembangkan karir menulis sehingga menjadi profesional.</div>
<div><br></div>
<div>Kelas ini cocok untuk kamu yang tertarik dengan kegiatan menulis, penulis pemula yang ingin terjun ke dunia <em>creative writing </em>khusus nonfiksi, ataupun penulis pemula yang tertarik untuk menulis artikel nonfiksi dengan gaya <em>storytelling</em>.&nbsp;</div>
<div><br></div>
<div>Kamu akan dapat mengaplikasikan cara menulis dengan gaya storytelling untuk karya tulis kreatif nonfiksi.&nbsp;</div>",2020-02-03T07:45:38Z,ONLINE,360000,4.9,47973,"['E-Commerce Marketing Complete Guide', 'Social Media 101', 'Copywriting', 'Kelas Pro Course Terbaik', 'SEO and Copywriting Complete Guide', 'Pilihan Oktober', 'Skillsale Ramadan', 'Digital Marketing Starter Kit', 'Pilihan Skill Academy', 'Pilihan November ']"
Mulai Karier sebagai UX Designer,"<div><em>&nbsp;UX Design</em> merupakan hal yang penting dalam pembuatan suatu produk. Membuat <em>UX Design </em>yang baik penting agar tidak hanya produk menguntungkan dari segi bisnis, tetapi disukai oleh pelangganan karena kenyamanan penggunanya.&nbsp;</div>
<div><br></div>
<div>&nbsp;Melalui course ini, bersama Luky Primadani, kamu akan dipersiapkan untuk menjadi seorang <em>UX Designer </em>dan UX Profesional yang dapat memahami <em>agile software development </em>baik dalam <em>mindset</em>, konsep, dan praktiknya. &nbsp;&nbsp;</div>
<div><br></div>
<div>Jadi, tunggu aplagi? Ikuti kelasnya sekarang!&nbsp;&nbsp;&nbsp;</div>",2020-01-23T04:07:49Z,ONLINE,166667,4.8,1440,"['Kelas Pro Course Terbaik', 'Pilihan Skill Academy']"
Kunci Sukses Memulai Travel Agency,"<div>Pariwisata menjadi usaha yang selalu berkembang dari tahun ke tahun dan tidak ada habisnya. Kelas ini akan membahas lengkap strategi membangun bisnis pariwisata dengan mengetahui potensinya, menentukan target pasar dengan memperhatikan riset pasar, dan mengetahui cara menyajikan tourism experiences sehingga membuat nyaman wisatawan.</div>
<div><br>
Buka hanya itu, kamu juga akan diberikan cara mengembangkan usaha dengan merencanakan paket wisata, membangun koneksi dengan konsumen melalui customer persona, &nbsp;hingga tips memperluas bisnismu dengan memasarkannya di media sosial.</div>",2020-07-28T05:18:05Z,ONLINE,240000,4.9,1145,"['Kelas Pro Course Terbaik', 'Pilihan Skill Academy', 'Entrepreneurship']"
Sekretaris 101: Pengelolaan Surat dan Dokumen Administratif,"<div>Sekretaris memiliki peran yang penting dalam menjaga kelancaran aktivitas perusahaan. Seorang sekretaris harus mampu menjalankan tugas-tugas administrasi termasuk pengelolaan surat dan membuat dokumen administratif lainnya sesuai dengan ruang lingkup dan tanggung jawabnya. Tugas-tugas tersebut diantaranya mengenai surat-menyurat, kearsipan, mempersiapkan perjalanan dinas, mengelola jadwal atau agenda pimpinan, mempersiapkan dan mengelola rapat, hingga mengelola administrasi keuangan kas kecil.<br>
</div>
<div>Untuk menjadi sekretaris yang profesional tentunya harus dibekali dengan ilmu administrasi yang baik. Maka dari itu, kelas ini hadir untuk meningkatkan kemampuan administrasi bagi seorang sekretaris agar mampu menjalankan tugas-tugasnya. Di kelas ini, peserta akan mempelajari bagaimana memahami sebuah surat, menangani surat masuk dan keluar, membuat surat balasan, mengelola arsip, mempersiapkan perjalanan dinas, mengelola jadwal atau agenda pimpinan, mempersiapkan dan mengelola rapat, hingga mengelola kas kecil. Jadi tunggu apalagi? Yuk ikuti kelasnya sekarang!&nbsp;</div>",2023-07-04T10:41:24Z,ONLINE,360000,5.0,7,"['Kelas Pro Course Terbaik', 'Pilihan Oktober', 'payday-course', 'Sekretaris dan guru', 'Pilihan Skill Academy', 'Pilihan November ']"
E-Commerce 101: Kunci Sukses Berjualan Online,"<div>Penjualan produk melalui platform <em>e-commerce</em> (<em>online marketplace</em> seperti Tokopedia, Bukalapak, Shopee, Lazada, Blibli, dan lainnya) adalah sektor yang berkembang sangat pesat pada masa ini. Banyaknya online shop yang berkembang membuat persaingan dalam berjualan di <em>e-commerce</em> juga semakin ketat. Kondisi ini menjadi tantangan bagi para pemilik <em>online shop</em> untuk meningkatkan performa dan aktivitas penjualan toko, agar dapat bersaing di dunia <em>e-commerce</em>.<br>
</div>
<div>Di kelas ini kamu akan mempelajari kiat meningkatkan performa dan aktivitas penjualan toko di <em>e-commerce</em> dengan cara membuat toko mudah ditemukan dalam pencarian, mengetahui trik menata tampilan toko di <em>e-commerce,</em> membuat promosi dan <em>campaign</em>, hingga strategi meningkatkan pelayanan berbelanja <em>online </em>di toko.</div>",2020-04-27T03:18:03Z,ONLINE,100000,5.0,57003,"['E-Commerce Marketing Complete Guide', 'Kelas Pro Course Terbaik', 'Terlaris', 'Pilihan Oktober', 'Skillsale Ramadan', 'Digital Marketing Starter Kit', 'Pilihan Skill Academy', 'Pilihan November ']"
Bahasa Wajib Programmer: C# dan .Net Core,"<div>C# adalah bahasa pemrograman buatan Microsoft yang serba guna dan relatif mudah digunakan. Sedangkan .NET Core adalah runtime atau penerjemah bahasa pemrograman agar komputer dapat mengerti kode program yang dibuat. Dengan C# dan .NET Core kita dapat membuat berbagai aplikasi antara lain aplikasi console, desktop dan web. Dengan C#, kita bisa membuat aplikasi mobile dan games dengan bantuan framework lain; seperti Xamarin atau Unity.</div>",2020-04-09T08:51:50Z,ONLINE,148000,4.7,549,"['Kelas Pro Course Terbaik', 'Pilihan Skill Academy', 'Pilihan November ']"
Mulai Karier sebagai Product Manager,"<div>Pada tahun 2016, Wall Street Journal menominasikan<em> product manager</em> sebagai salah satu pekerjaan impian untuk mahasiswa lulusan S2 dan MBA (Master of Business Administration). Dengan berkembangnya perusahaan teknologi yang semakin meluas di seluruh dunia, McKinsey and Company juga menyatakan bahwa <em>product manager</em> adalah “A new training ground for CEOs”. Namun <em>role </em>seorang <em>product manager</em> belum umum dimengerti oleh semua orang, dan belum banyak pendidikan formal yang dapat mempersiapkan seseorang menjadi <em>product manager</em>. Ada banyak juga miskonsepsi terhadap <em>role</em> seorang <em>product manager</em> yang membuat pekerjaan ini terlihat sulit. <em>Course </em>ini akan membantu kamu untuk memahami dengan baik <em>role </em>seorang <em>product manager</em> dan keahlian apa saja yang dibutuhkan ketika menjalani pekerjaan sebagai <em>product manager</em>.<br>
</div>
<div>Materi dalam <em>course </em>ini akan terbagi menjadi 6 topik yang terdiri dari 9 topik dan 9 video. Hal-hal yang akan kamu pelajari antara lain pengenalan <em>product manager</em> dalam dunia kerja, jenis-jenis produk teknologi, <em>product development life cycle</em>, menyelidiki kebutuhan <em>customer</em>, <em>testing &amp; validating product</em>, menulis <em>product requirement document</em> yang baik, memahami UX (User Experience) dalam pembuatan produk, menerapkan <em>agile mindset</em> dalam tim, bekerjasama dengan tim engineering untuk merealisasikan desain dari produk, strategi marketing ketika meluncurkan produk, dan yang terakhir jenjang karir sebagai seorang <em>product manager</em>.</div>",2020-09-21T02:50:11Z,ONLINE,200000,4.9,826,"['SKILLDISKON', 'Kelas Pro Course Terbaik', 'Pilihan Skill Academy', 'Pilihan November ']"
Persiapan Menjadi Peternak Ayam Petelur,"<div>Salah satu usaha di bidang peternakan yang menjanjikan adalah usaha ayam petelur. Hal ini karena telur merupakan kebutuhan pokok semua orang dan bisa digunakan untuk olahan makanan apa saja serta disukai oleh masyarakat Indonesia. Di saat harga lauk pauk lainnya relatif mahal, maka pilihan masyarakat akan jatuh pada telur yang tetap terjangkau. Inilah yang membuat kebutuhan telur oleh masyarakat selalu tinggi. Kebutuhan telur ayam yang tinggi ini tentunya akan sangat menarik untuk pebisnis ayam atau orang-orang yang ingin memulai usaha ayam petelur di Indonesia. Bahkan, bukan tidak mungkin budidaya ayam jenis ini akan terus menjanjikan keuntungan sepanjang masa bagi pemiliknya. Namun tentunya berbisnis ayam petelur memerlukan pengetahuan agar usaha yang dijalankan tidak mengalami kerugian. Oleh karena, itu seorang pebisnis ayam petelur harus memahami bagaimana merawat dan berternak ayam petelur yang baik, memahami segala kebutuhan, persiapan modal, hingga resiko apa saja yang mungkin terjadi ketika berbisnis ayam petelur.<br>
</div>
<div>Kelas ini sangat cocok untuk kamu yang ingin memulai bisnis ayam petelur agar keuntungan yang didapatkan bisa maksimal. Di kelas ini akan dipelajari mulai dari pengenalan bisnis ayam petelur di Indonesia, apa saja persiapan yang perlu dilakukan untuk memulai bisnis ayam petelur dari mulai persiapan modal hingga keuntungan dan resiko yang mungkin dihadapi, serta bagaimana menentukan lokasi yang tepat untuk penempatan kandang, pembuatan kandang ayam petelur, hingga bagaimana manajemen kandang yang baik untuk ayam petelur.<br>
Menarik kan? Jadi tunggu apa lagi? Yuk ikuti pelatihan ini dan terapkan kompetensinya!</div>",2023-07-11T04:06:51Z,ONLINE,180000,0.0,0,"['Kelas Pro Course Terbaik', 'payday-course', 'Pilihan Skill Academy']"
Legal Officer 101: Dokumen Perjanjian Perusahaan,"<div>Studi Deloitte menunjukkan bahwa 52% perusahaan memiliki tantangan dalam mengelola dokumen dan perizinan legal. Perusahaan harus mematuhi berbagai ketentuan hukum dan mengurus sejumlah dokumen yang berkaitan dengan aktivitas mereka. Mengelola dokumen dan perizinan legal yang beragam ini membutuhkan pemahaman yang baik tentang proses dan persyaratan yang berlaku. Maka dari itu, penting untuk mempelajari cara pengelolaan dokumen dan perizinan legal dengan tepat karena kesalahan dalam hal ini dapat memiliki konsekuensi serius bagi perusahaan. Pelanggaran hukum atau ketidakpatuhan terhadap persyaratan perizinan dapat mengakibatkan sanksi hukum, denda, atau bahkan reputasi perusahaan yang rusak. Dengan memahami dan menerapkan praktik pengelolaan yang tepat, seorang <em>Legal Officer</em> dapat membantu perusahaan menjaga kepatuhan hukum dan menghindari masalah yang berpotensi merugikan.&nbsp;</div>
<div><br></div>
<div>Materi yang diajarkan dalam kelas ini mencakup berbagai topik terkait dengan dokumen dan perizinan legal di perusahaan. Peserta akan diperkenalkan dengan penggunaan surat resmi perusahaan dan dokumen korporat, termasuk pemahaman tentang penggunaan dan konten yang tepat. Peserta juga akan belajar tentang dokumen perizinan perusahaan dan bagaimana mengurus surat kontrak kerja sama. Selain itu, kelas ini akan membahas <em>Non-Disclosure Agreement</em> (NDA) sebagai alat penting dalam menjaga kerahasiaan informasi perusahaan. Sistem pengaturan dokumentasi perusahaan juga akan menjadi fokus, di mana peserta akan mempelajari alur tahapan dalam manajemen dokumen perusahaan.</div>
<div><br></div>
<div>Di kelas ini, peserta juga akan mempelajari ragam dokumen ketenagakerjaan seperti Perjanjian Kerja, Perjanjian Kerja Bersama, Peraturan Perusahaan, Wajib Lapor Ketenagakerjaan di Perusahaan, BPJS, dan RPTKA. Peserta akan memperoleh pemahaman tentang persyaratan hukum yang terkait dengan ketenagakerjaan dan bagaimana mengelola dokumen-dokumen tersebut dengan tepat. Melalui mengikuti kelas ini, peserta akan meningkatkan pemahaman mereka tentang pengelolaan dokumen dan perizinan legal di perusahaan. Mereka akan menjadi lebih mampu mengelola proses yang rumit, meminimalkan risiko hukum, dan memastikan kepatuhan terhadap aturan dan regulasi yang berlaku. Jadi, apakah kamu siap menjadi <em>Legal Officer</em> yang handal? Mari ikuti kelasnya!&nbsp;</div>",2023-07-25T07:29:24Z,ONLINE,200000,5.0,2,"['Kelas Pro Course Terbaik', 'Pilihan Oktober', 'Pilihan Skill Academy', 'Pilihan November ']"
Persiapan dan Strategi untuk Dapatkan Pekerjaan Impian,"<div>Perkembangan era industri 4.0 menyebabkan perubahan dinamika di hampir semua aspek kehidupan. Tidak terkecuali dunia kerja yang semakin kompetitif. Para pencari kerja khususnya mereka yang baru lulus sekolah, kuliah maupun sedang mengikuti program pelatihan membutuhkan skill pengembangan diri agar mampu bersaing di era industri 4.0. Di kelas ini Kartika dan Chairunnisa akan membagikan pengetahuan dasar tentang pengembangan diri hingga langkah-langkah awal persiapan mencari kerja.</div>
<div><br></div>
<div>Mencari pekerjaan bukanlah perkara yang mudah. Selain menyiapkan berbagai macam kebutuan mencari pekerjaan, pelamar kerja juga dituntut untuk menyiapkan diri dan keterampilan yang sesuai dengan kebutuhan perusahaan.</div>
<div><br></div>
<div>Kelas ini akan membahas tentang cara mempersiapkan diri, mulai dari cara mengenali diri sendiri hingga menggali sumber motivasi. Kartika akan memberikan tips-tips mengenal diri sendiri dan bagaimana menjaga motivasi untuk terus mengembangkan kemampuan.</div>
<div><br></div>
<div>Setelah berhasil mengenal diri sendiri, Chairunnisa akan mengajakmu untuk membuat perencanaan masa depan yang sesuai dengan minat dan keterampilan yang kamu miliki. Membuat perencanaan masa depan sangatlah penting dalam menentukan keterampilan yang kamu butuhkan untuk mendapatkan pekerjaan yang kamu inginkan.</div>
<div><br></div>
<div>Kelas ini juga akan memberikan pembahasan dasar mengenai langkah mencari pekerjaan, mulai dari membuat CV, melakukan korespondensi hingga tips sukses hari pertama bekerja. Kelas ini ditutup dengan sesi sharing bersama pakar yang akan membagikan tips dalam memulai karier dan mempertahankannya.</div>
<div><br></div>
<div>Dengan mengikuti rangkaian kelas ini, kamu akan dapat mengenali diri dengan lebih baik untuk dapat membuat perencaan masa depan dan mengetahui kemampuan apa yang kamu butuhkan untuk mencari pekerjaan yang kamu impikan.</div>
<div><br></div>
<div>Jadi, tunggu apa lagi, ikuti kelasnya sekarang juga!</div>
<div>Selamat belajar!&nbsp;&nbsp;&nbsp;</div>",2022-03-02T04:34:20Z,ONLINE,150000,5.0,796,"['Sukses Berkarier', 'Kelas Pro Course Terbaik', 'AICIF 2024 x Skill Academy', 'Terlaris', 'Pilihan Skill Academy']"
